Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2025,Tanjung karang barat,Januari,Pencurian motor,perkantoran,12.00-14.59,1
2025,Tanjung karang timur,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,12.00-14.59,1
2025,Teluk betung selatan,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,12.00-14.59,1
2025,Kedaton,Januari,Pencurian motor,tempat parkir,12.00-14.59,1
2025,Tanjung karang pusat,Januari,Pencurian motor,tempat parkir,12.00-14.59,1
2025,Teluk betung selatan,Januari,Pencurian motor,tempat parkir,12.00-14.59,1
2025,Tanjung senang,Januari,Pencurian motor,pasar,12.00-14.59,1
2025,Teluk betung selatan,Januari,Pencurian motor,rumah,15.00-17.59,1
2025,Teluk betung utara,Januari,Pencurian motor,rumah,15.00-17.59,1
2025,Tanjung karang pusat,Januari,Pencurian motor,rumah,15.00-17.59,1
2025,Tanjung karang timur,Januari,Pencurian motor,rumah,15.00-17.59,1
2025,Tanjung karang pusat,Januari,Pencurian motor,perkantoran,15.00-17.59,1
2025,Panjang,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,1
2025,Tanjung karang pusat,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,1
